                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.50438,                0.35594,                 0.8801,                0.99774,                      1,                  0.995,                0.84549,                0.57475,                0.31082,                0.83568,              0.0008252,              0.0008252,              0.0008252
                      1,                 0.8734,                 7.0346,                 1.0649,                0.87095,                0.84615,                0.87932,                0.55797,                 1.1075,                 2.4842,                0.92202,             0.00065079,             0.00065079,             0.00065079
                      2,                0.94811,                 1.1218,                 1.0915,                0.07306,                0.53846,                0.10708,                0.08718,                0.94075,                 30.309,                0.99421,              0.0013088,              0.0013088,              0.0013088
                      3,                 1.0471,                0.98802,                  1.148,                0.08088,                0.07692,                0.01503,                 0.0101,                 2.2332,                 6.1559,                 1.8492,              0.0019579,              0.0019579,              0.0019579
                      4,                0.98779,                0.85278,                 1.1342,                0.60816,                0.42308,                0.32959,                0.22229,                 1.4383,                 4.8898,                 1.4434,              0.0019604,              0.0019604,              0.0019604
                      5,                0.95935,                0.73913,                 1.1206,                0.90434,                0.92308,                0.95726,                0.63758,                 1.2425,                 1.0839,                 1.0058,              0.0019472,              0.0019472,              0.0019472
                      6,                 0.9248,                0.71694,                  1.095,                0.82388,                0.65385,                 0.8138,                0.59141,                0.89694,                 1.5776,                0.93817,               0.001934,               0.001934,               0.001934
                      7,                 0.8364,                0.66148,                 1.0461,                0.78946,                0.96154,                0.95866,                0.71162,                0.86695,                0.76003,                0.89092,              0.0019208,              0.0019208,              0.0019208
                      8,                  0.838,                0.64374,                 1.0457,                0.64318,                0.96154,                0.63643,                0.43329,                 1.0188,                 1.3511,                0.98724,              0.0019076,              0.0019076,              0.0019076
                      9,                0.85425,                0.61742,                 1.0551,                0.99184,                0.92308,                0.92591,                0.71837,                0.91452,                0.69027,                0.94301,              0.0018944,              0.0018944,              0.0018944
                     10,                 0.8145,                0.59563,                 1.0362,                0.88222,                0.96154,                0.96904,                0.74033,                 0.8415,                0.56586,                0.91276,              0.0018812,              0.0018812,              0.0018812
                     11,                0.82754,                0.57326,                 1.0379,                0.89768,                0.88462,                0.90692,                0.73627,                0.74712,                0.63453,                0.90673,               0.001868,               0.001868,               0.001868
                     12,                0.80455,                 0.5725,                 1.0302,                0.98528,                      1,                  0.995,                0.78818,                0.74726,                0.48435,                0.87304,              0.0018548,              0.0018548,              0.0018548
                     13,                0.77385,                0.55729,                 1.0191,                0.92016,                 0.8866,                0.97611,                0.77346,                0.61743,                0.50414,                0.85977,              0.0018416,              0.0018416,              0.0018416
                     14,                0.75695,                0.54092,                 1.0146,                0.96013,                      1,                0.99241,                0.80093,                0.54701,                0.41846,                0.85033,              0.0018284,              0.0018284,              0.0018284
                     15,                0.76675,                0.53362,                 1.0185,                0.84757,                0.96154,                0.93055,                0.67165,                0.73059,                0.69098,                 0.9169,              0.0018152,              0.0018152,              0.0018152
                     16,                0.76598,                0.52151,                 1.0052,                0.98009,                      1,                  0.995,                 0.7894,                0.78486,                0.44749,                0.87829,               0.001802,               0.001802,               0.001802
                     17,                0.73023,                0.50448,                0.99172,                0.97273,                      1,                  0.995,                0.81397,                0.56585,                 0.4053,                0.84164,              0.0017888,              0.0017888,              0.0017888
                     18,                 0.7208,                0.49291,                0.98002,                0.99699,                      1,                  0.995,                0.77759,                0.62335,                0.41103,                0.84974,              0.0017756,              0.0017756,              0.0017756
                     19,                0.70584,                0.51201,                0.98063,                0.97797,                      1,                  0.995,                0.80424,                0.70006,                0.37946,                0.85576,              0.0017624,              0.0017624,              0.0017624
                     20,                0.72445,                0.51062,                 1.0019,                 0.9959,                      1,                  0.995,                0.79877,                0.75563,                0.46796,                0.85816,              0.0017492,              0.0017492,              0.0017492
                     21,                0.68853,                0.48625,                0.96983,                0.99616,                      1,                  0.995,                0.82626,                0.51675,                0.38867,                 0.8214,               0.001736,               0.001736,               0.001736
                     22,                0.68103,                0.46673,                0.97773,                0.96076,                      1,                  0.995,                0.81777,                0.63133,                0.44765,                0.85506,              0.0017228,              0.0017228,              0.0017228
                     23,                0.67375,                0.47508,                0.97066,                0.99635,                      1,                  0.995,                0.80941,                 0.6592,                0.46247,                0.85966,              0.0017096,              0.0017096,              0.0017096
                     24,                0.66145,                0.45142,                0.95291,                0.99733,                      1,                  0.995,                0.83161,                0.66801,                0.39173,                0.84504,              0.0016964,              0.0016964,              0.0016964
                     25,                0.67656,                0.44621,                0.95528,                0.99694,                      1,                  0.995,                0.83797,                0.63358,                0.37725,                0.83656,              0.0016832,              0.0016832,              0.0016832
                     26,                0.64947,                0.45222,                0.94283,                0.99359,                      1,                  0.995,                0.81732,                0.58931,                 0.3678,                0.83658,                0.00167,                0.00167,                0.00167
                     27,                0.66145,                0.47252,                0.95505,                0.99736,                      1,                  0.995,                 0.8499,                 0.6104,                0.39321,                 0.8295,              0.0016568,              0.0016568,              0.0016568
                     28,                0.65487,                0.44515,                0.95367,                0.99594,                      1,                  0.995,                 0.8319,                0.56701,                0.38697,                0.83878,              0.0016436,              0.0016436,              0.0016436
                     29,                0.65863,                0.45756,                0.94699,                 0.9828,                      1,                  0.995,                  0.808,                0.71945,                0.37674,                0.84319,              0.0016304,              0.0016304,              0.0016304
                     30,                0.64406,                0.43071,                0.95582,                0.98218,                      1,                  0.995,                0.78286,                0.53046,                 0.4781,                 0.8418,              0.0016172,              0.0016172,              0.0016172
                     31,                0.63368,                0.44117,                0.95326,                0.96042,                      1,                0.99241,                0.81808,                 0.6842,                0.41005,                0.85608,               0.001604,               0.001604,               0.001604
                     32,                0.65115,                0.43803,                0.96492,                0.99525,                      1,                  0.995,                0.82456,                0.55035,                0.53938,                0.83138,              0.0015908,              0.0015908,              0.0015908
                     33,                0.62713,                0.43667,                 0.9458,                0.99667,                      1,                  0.995,                0.79964,                0.59865,                 0.4281,                0.82426,              0.0015776,              0.0015776,              0.0015776
                     34,                0.63297,                0.43089,                0.95181,                0.99709,                      1,                  0.995,                0.83201,                0.56161,                0.33256,                0.82331,              0.0015644,              0.0015644,              0.0015644
                     35,                0.62887,                 0.4279,                0.94572,                0.98846,                      1,                  0.995,                 0.8311,                0.58469,                 0.3638,                0.82701,              0.0015512,              0.0015512,              0.0015512
                     36,                0.62685,                0.41417,                0.94074,                0.99688,                      1,                  0.995,                0.82619,                0.63938,                0.39764,                0.84556,               0.001538,               0.001538,               0.001538
                     37,                0.60756,                0.41002,                0.93388,                0.99711,                      1,                  0.995,                0.83856,                0.66381,                 0.3824,                0.84154,              0.0015248,              0.0015248,              0.0015248
                     38,                0.60979,                0.41164,                0.93832,                0.99683,                      1,                  0.995,                0.79983,                0.66509,                0.43931,                0.84788,              0.0015116,              0.0015116,              0.0015116
                     39,                0.61247,                 0.4137,                 0.9269,                0.99729,                      1,                  0.995,                0.83293,                0.57721,                0.37688,                0.83129,              0.0014984,              0.0014984,              0.0014984
                     40,                0.61814,                0.41775,                0.93101,                0.99748,                      1,                  0.995,                 0.8545,                0.55656,                0.36667,                0.82231,              0.0014852,              0.0014852,              0.0014852
                     41,                0.60202,                0.40881,                0.92344,                0.99721,                      1,                  0.995,                0.86612,                0.60721,                0.36093,                0.83063,               0.001472,               0.001472,               0.001472
                     42,                0.57677,                0.38461,                0.92874,                0.99726,                      1,                  0.995,                0.89284,                0.41559,                 0.2999,                0.80877,              0.0014588,              0.0014588,              0.0014588
                     43,                0.59006,                0.39728,                0.92697,                0.99606,                      1,                  0.995,                0.86206,                0.57062,                0.40405,                0.81551,              0.0014456,              0.0014456,              0.0014456
                     44,                0.58014,                0.39209,                0.93224,                0.99617,                      1,                  0.995,                0.85633,                0.57025,                0.38307,                0.82291,              0.0014324,              0.0014324,              0.0014324
                     45,                0.55631,                0.38483,                0.90318,                0.98839,                      1,                  0.995,                0.85837,                0.49539,                0.67615,                0.81021,              0.0014192,              0.0014192,              0.0014192
                     46,                0.58714,                0.38962,                0.92281,                0.99769,                      1,                  0.995,                0.85998,                0.55685,                0.31203,                0.82318,               0.001406,               0.001406,               0.001406
                     47,                0.57702,                0.39185,                0.92354,                0.99068,                      1,                  0.995,                0.84173,                0.58916,                0.38978,                 0.8326,              0.0013928,              0.0013928,              0.0013928
                     48,                0.56867,                0.39308,                 0.9168,                0.99681,                      1,                  0.995,                0.85308,                0.50332,                0.35757,                0.81942,              0.0013796,              0.0013796,              0.0013796
                     49,                0.56988,                  0.385,                0.91955,                0.99726,                      1,                  0.995,                0.82592,                0.59721,                0.34505,                0.82615,              0.0013664,              0.0013664,              0.0013664
                     50,                0.57723,                0.39399,                0.92698,                0.99759,                      1,                  0.995,                0.87205,                0.56402,                0.30062,                0.82576,              0.0013532,              0.0013532,              0.0013532
                     51,                0.59722,                0.40099,                0.93449,                0.99602,                      1,                  0.995,                0.84103,                0.70997,                0.38622,                0.83566,                0.00134,                0.00134,                0.00134
                     52,                0.57558,                0.37641,                0.91733,                0.99723,                      1,                  0.995,                0.86981,                0.60168,                0.41387,                0.81508,              0.0013268,              0.0013268,              0.0013268
